genus	family	notes
Houstonia	Rubiaceae	
Houttuynia	Saururaceae	
Hovea	Papilionaceae	
Hovenia	Rhamnaceae	
Howea	Arecaceae	
Hoya	Apocynaceae	
Huernia	Apocynaceae	
Huerniopsis	Apocynaceae	
Hugueninia	Brassicaceae	
Humata	Davalliaceae	
Humea	Asteraceae	
Humulus	Cannabaceae	
Hunnemannia	Papaveraceae	
Huodendron	Styracaceae	
Hutchinsia	Brassicaceae	
Hutchinsonia	Rubiaceae	
Hyacinthella	Asparagaceae	
Hyacinthoides	Asparagaceae	
Hyacinthus	Asparagaceae	
Hybanthus	Violaceae	
Hydrangea	Hydrangeaceae	
Hydrastis	Ranunculaceae	
Hydrocharis	Hydrocharitaceae	
Hydrocleys	Alismataceae	
Hydrocotyle	Araliaceae	
Hydrophilus	Restionaceae	
Hydrophyllum	Boraginaceae	
Hylocereus	Cactaceae	
Hylomecon	Papaveraceae	
Hylotelephium	Crassulaceae	
Hymenanthera	Violaceae	
Hymenocallis	Amaryllidaceae	
Hymenolepis	Asteraceae	
Hymenosporum	Pittosporaceae	
Hymenoxys	Asteraceae	
Hyophorbe	Arecaceae	
Hyoscyamus	Solanaceae	
Hyparrhenia	Poaceae	
Hypericum	Hypericaceae	
Hyphaene	Arecaceae	
Hypocalymma	Myrtaceae	
Hypocalyptus	Papilionaceae	
Hypochaeris	Asteraceae	
Hypocyrta	Gesneriaceae	
Hypoestes	Acanthaceae	
Hypolepis	Dennstaedtiaceae	
Hypoxis	Hypoxidaceae	
Hypsela	Campanulaceae	
Hypseocharis	Geraniaceae	
Hyptis	Lamiaceae	
Hyssopus	Lamiaceae	
Hysterionica	Asteraceae	
Hystrix	Poaceae	
Iberis	Brassicaceae	
Ichthyoselmis	Papaveraceae	
Idesia	Salicaceae	
Idria	Fouquieriaceae	
Ilex	Aquifoliaceae	
Iliamna	Malvaceae	
Illicium	Schisandraceae	
Ilysanthes	Scrophulariaceae	
Impatiens	Balsaminaceae	
Imperata	Poaceae	
Incarvillea	Bignoniaceae	
Indigofera	Papilionaceae	
Indocalamus	Poaceae	
Indosasa	Poaceae	
Inula	Asteraceae	
Inulanthera	Asteraceae	
Iochroma	Solanaceae	
Ionactis	Asteraceae	
Iostephane	Asteraceae	
Ipheion	Alliaceae	
Iphigenia	Colchicaceae	
Ipomoea	Convolvulaceae	
Ipomopsis	Polemoniaceae	
Iresine	Amaranthaceae	
Iris	Iridaceae	
Isatis	Brassicaceae	
Ischyrolepis	Restionaceae	
Ismelia	Asteraceae	
Ismene	Amaryllidaceae	
Isodon	Lamiaceae	
Isoetes	Isoetaceae	
Isolepis	Cyperaceae	
Isoloma	Gesneriaceae	
Isomeris	Capparaceae	
Isoplexis	Scrophulariaceae	
Isopogon	Proteaceae	
Isopyrum	Ranunculaceae	
Isotoma	Campanulaceae	
Itea	Iteaceae	
Itoa	Salicaceae	
Ivesia	Rosaceae	
Ixeris	Asteraceae	
Ixia	Iridaceae	
Ixiolirion	Ixioliriaceae	
Ixora	Rubiaceae	
Jaborosa	Solanaceae	
Jacaranda	Bignoniaceae	
Jacobaea	Asteraceae	
Jacobinia	Acanthaceae	
Jacquemontia	Convolvulaceae	
Jaltomata	Solanaceae	
Jamesbrittenia	Scrophulariaceae	
Jamesia	Hydrangeaceae	
Jancaemonda	Gesneriaceae	
Jasione	Campanulaceae	
Jasminium	Oleaceae	
Jasminum	Oleaceae	
Jatropha	Euphorbiaceae	
Jeffersonia	Berberidaceae	
Johannesteijsmannia	Arecaceae	
Jovellana	Calceolariaceae	
Jovibarba	Crassulaceae	
Juania	Arecaceae	
Juanulloa	Solanaceae	
Jubaea	Arecaceae	
Juglans	Juglandaceae	
Juncus	Juncaceae	
Junellia	Verbenaceae	
Juniperus	Cupressaceae	
Jurinea	Asteraceae	
Jurinella	Asteraceae	
Jussiaea	Onagraceae	
Justicia	Acanthaceae	
Kadsura	Schisandraceae	
Kaempferia	Zingiberaceae	
Kageneckia	Rosaceae	
Kalanchoe	Crassulaceae	
Kalimeris	Asteraceae	
Kalmia	Ericaceae	
Kalmiopsis	Ericaceae	
Kalmiothamnus	Ericaceae	
Kalopanax	Araliaceae	
Keckiella	Plantaginaceae	
Keiskea	Lamiaceae	
Kelleria	Thymelaeaceae	
Kelseya	Rosaceae	
Kennedia	Papilionaceae	
Kentia	Arecaceae	
Kentranthus	Valerianaceae	
Kernera	Brassicaceae	
Kerria	Rosaceae	
Keteleeria	Pinaceae	
Khadia	Aizoaceae	
Kickxia	Plantaginaceae	
Kigelia	Bignoniaceae	
Kiggelaria	Flacourtiaceae	
Kirengeshoma	Hydrangeaceae	
Kitagawia	Apiaceae	
Kitaibela	Malvaceae	
Kitchingia	Crassulaceae	
Klasea	Asteraceae	
Kleinia	Asteraceae	
Knautia	Caprifoliaceae	
Knightia	Proteaceae	
Kniphofia	Asphodelaceae	
Knowltonia	Ranunculaceae	
Kobresia	Cyperaceae	
Kochia	Chenopodiaceae	
Koeleria	Poaceae	
Koellikeria	Gesneriaceae	
Koelreuteria	Sapindaceae	
Kohleria	Gesneriaceae	
Kolkwitzia	Caprifoliaceae	
Korolkowia	Liliaceae	
Kosteletzkya	Malvaceae	
Krascheninnikovia	Amaranthaceae	
Kuhnia	Asteraceae	
Kummerowia	Papilionaceae	
Kunzea	Myrtaceae	
Labichea	Caesalpiniaceae	
Lablab	Papilionaceae	
Laburnocytisus	Papilionaceae	
Laburnum	Papilionaceae	
Laccospadix	Arecaceae	
Lachenalia	Asparagaceae	
Lachnanthes	Haemodoraceae	
Lactuca	Asteraceae	
Lagarosiphon	Hydrocharitaceae	
Lagarostrobos	Podocarpaceae	
Lagenaria	Cucurbitaceae	
Lagenophora	Asteraceae	
Lagerstroemia	Lythraceae	
Lagotis	Plantaginaceae	
Lagunaria	Malvaceae	
Lagurus	Poaceae	
Lallemantia	Lamiaceae	
Lamarckia	Poaceae	
Lambertia	Proteaceae	
Lamiastrum	Lamiaceae	
Lamium	Lamiaceae	
Lampranthus	Aizoaceae	
Lamprocapnos	Papaveraceae	
Lamprothyrsus	Poaceae	
Lanaria	Lanariaceae	
Lancea	Phrymaceae	
Lantana	Verbenaceae	
Lapageria	Philesiaceae	
Lapeirousia	Iridaceae	
Lapiedra	Amaryllidaceae	
Laportea	Urticaceae	
Lappula	Boraginaceae	
Lapsana	Asteraceae	
Lardizabala	Lardizabalaceae	
Larix	Pinaceae	
Larrea	Zygophyllaceae	
Larryleachia	Apocynaceae	
Laser	Apiaceae	
Laserpitium	Apiaceae	
Lasiagrostis	Poaceae	
Lasiospermum	Asteraceae	
Lastreopsis	Dryopteridaceae	
Latania	Arecaceae	
Lathraea	Orobanchaceae	
Lathyrus	Papilionaceae	
Latua	Solanaceae	
Laurelia	Atherospermataceae	
Laureliopsis	Atherospermataceae	
Laurentia	Campanulaceae	
Lauro-cerasus	Rosaceae	
Laurus	Lauraceae	
Lavandula	Lamiaceae	
Lavatera	Malvaceae	
Lavrania	Apocynaceae	
Lawsonia	Lythraceae	
Lecanthus	Urticaceae	
Ledebouria	Asparagaceae	
Ledodendron	Ericaceae	
Ledum	Ericaceae	
Leea	Vitaceae	
Leersia	Poaceae	
Legousia	Campanulaceae	
Leibnitzia	Asteraceae	
Leiophyllum	Ericaceae	
Lembotropis	Papilionaceae	
Lemna	Araceae	
Leonotis	Lamiaceae	
Leontice	Berberidaceae	
Leontochir	Alstroemeriaceae	
Leontodon	Asteraceae	
Leontopodium	Asteraceae	
Leonurus	Lamiaceae	
Leopoldia	Asparagaceae	
Lepechinia	Lamiaceae	
Lepidium	Brassicaceae	
Lepidothamnus	Podocarpaceae	
Lepidozamia	Zamiaceae	
Lepismium	Cactaceae	
Leptarrhena	Saxifragaceae	
Leptecophylla	Ericaceae	
Leptinella	Asteraceae	
Leptocarpus	Restionaceae	
Leptocodon	Campanulaceae	
Leptodactylon	Polemoniaceae	
Leptodermis	Rubiaceae	
Leptogramma	Thelypteridaceae	
Leptolepia	Dennstaedtiaceae	
Leptopteris	Osmundaceae	
Leptopus	Euphorbiaceae	
Leptospermum	Myrtaceae	
Leschenaultia	Goodeniaceae	
Lespedeza	Papilionaceae	
Lesquerella	Brassicaceae	
Lessertia	Papilionaceae	
Leucadendron	Proteaceae	
Leucaena	Mimosaceae	
Leucanthemella	Asteraceae	
Leucanthemopsis	Asteraceae	
Leucanthemum	Asteraceae	
Leucheria	Asteraceae	
Leucochrysum	Asteraceae	
Leucocoryne	Alliaceae	
Leucogenes	Asteraceae	
Leucojum	Amaryllidaceae	See also <g>Acis</g>
Leucophyllum	Scrophulariaceae	
Leucophysalis	Solanaceae	
Leucophyta	Asteraceae	
Leucopogon	Ericaceae	
Leucoraoulia	Asteraceae	
Leucosceptrum	Lamiaceae	
Leucosidea	Rosaceae	
Leucospermum	Proteaceae	
Leucostegia	Davalliaceae	
Leucothoe	Ericaceae	
Leuzea	Asteraceae	
Levisticum	Apiaceae	
Lewisia	Portulacaceae	
Leycesteria	Caprifoliaceae	
Leymus	Poaceae	
Lhotzkya	Myrtaceae	
Liatris	Asteraceae	
Libanotis	Umbelliferae	
Libertia	Iridaceae	
Libocedrus	Cupressaceae	
Libonia	Acanthaceae	
Licuala	Arecaceae	
Ligularia	Asteraceae	
Ligusticum	Apiaceae	
Ligustrum	Oleaceae	
Lilaeopsis	Apiaceae	
Lilium	Liliaceae	
Limnanthes	Limnanthaceae	
Limnobium	Hydrocharitaceae	
Limnophila	Scrophulariaceae	
Limoniastrum	Plumbaginaceae	
Limonium	Plumbaginaceae	
Linanthastrum	Polemoniaceae	
Linanthus	Polemoniaceae	
Linaria	Plantaginaceae	
Lindelofia	Boraginaceae	
Lindera	Lauraceae	
Lindernia	Linderniaceae	
Linnaea	Caprifoliaceae	
Linum	Linaceae	
Liparia	Papilionaceae	
Liparis	Orchidaceae	
Lippia	Verbenaceae	
Liquidambar	Hamamelidaceae	
Liriodendron	Magnoliaceae	
Liriope	Asparagaceae	
Lisianthius	Gentianaceae	
Listera	Orchidaceae	
Litchi	Sapindaceae	
Lithocarpus	Fagaceae	
Lithodora	Boraginaceae	
Lithophragma	Saxifragaceae	
Lithops	Aizoaceae	
Lithospermum	Boraginaceae	
Lithraea	Anacardiaceae	
Litsea	Lauraceae	
Littonia	Colchicaceae	
Littorella	Plantaginaceae	
Livistona	Arecaceae	
Llagunoa	Sapindaceae	
Lloydia	Liliaceae	
Loasa	Loasaceae	
Lobelia	Campanulaceae	
Lobivia	Cactaceae	
Lobostemon	Boraginaceae	
Lobularia	Brassicaceae	
Loeselia	Polemoniaceae	
Loiseleuria	Ericaceae	
Lomandra	Asparagaceae	
Lomaria	Blechnaceae	
Lomatia	Proteaceae	
Lomatium	Apiaceae	
Lomatogonium	Gentianaceae	
Lonicera	Caprifoliaceae	
Lopezia	Onagraceae	
Lophatherum	Poaceae	
Lophomyrtus	Myrtaceae	
Lophosoria	Dicksoniaceae	
Lophospermum	Plantaginaceae	
Lophostemon	Myrtaceae	
Loropetalum	Hamamelidaceae	
Lotononis	Papilionaceae	
Lotus	Papilionaceae	
Loxostigma	Gesneriaceae	
Loxostylis	Anacardiaceae	
Lucilia	Asteraceae	
Luculia	Rubiaceae	
Ludisia	Orchidaceae	
Ludwigia	Onagraceae	
Luetkea	Rosaceae	
Luffa	Cucurbitaceae	
Luma	Myrtaceae	
Lunaria	Brassicaceae	
Lunathyrium	Woodsiaceae	
Lupinus	Papilionaceae	
Lutzia	Brassicaceae	
Luzula	Juncaceae	
Luzuriaga	Luzuriagaceae	
Lycene	Caryophyllaceae	
Lychnis	Caryophyllaceae	
Lycianthes	Solanaceae	
Lycium	Solanaceae	
Lycopodium	Lycopodiaceae	
Lycopsis	Boraginaceae	
Lycopus	Lamiaceae	
Lycoris	Amaryllidaceae	
Lygeum	Poaceae	
Lygodium	Lygodiaceae	
Lygos	Papilionaceae	
Lymania	Bromeliaceae	
Lyonia	Ericaceae	
Lyonothamnus	Rosaceae	
Lysichiton	Araceae	
Lysiloma	Mimosaceae	
Lysimachia	Primulaceae	
Lysionotus	Gesneriaceae	
Lythrum	Lythraceae	
Lytocaryum	Arecaceae	
Maackia	Papilionaceae	
Macadamia	Proteaceae	
Macbridea	Lamiaceae	
Macfadyena	Bignoniaceae	
Machaeranthera	Asteraceae	
Machaerina	Cyperaceae	
Machilus	Lauraceae	
Mackaya	Acanthaceae	
Macleania	Ericaceae	
Macleaya	Papaveraceae	
Maclura	Moraceae	
Macrodiervilla	Caprifoliaceae	
Macropidia	Haemodoraceae	
Macropiper	Piperaceae	
Macroptilium	Papilionaceae	
Macrothelypteris	Thelypteridaceae	
Macrozamia	Zamiaceae	
Maddenia	Rosaceae	
Madia	Asteraceae	
Maesa	Primulaceae	
Magnolia	Magnoliaceae	
Mahoberberis	Berberidaceae	
Mahonia	Berberidaceae	
Maianthemum	Asparagaceae	
Maihuenia	Cactaceae	
Maihueniopsis	Cactaceae	
Maireana	Amaranthaceae	
Malacothamnus	Malvaceae	
Malcolmia	Brassicaceae	
Malephora	Aizoaceae	
Mallotus	Euphorbiaceae	
Malope	Malvaceae	
Malotigena	Aizoaceae	
Malpighia	Malpighiaceae	
Malus	Rosaceae	
Malva	Malvaceae	
Malvastrum	Malvaceae	
Malvaviscus	Malvaceae	
Mammillaria	Cactaceae	
Mandevilla	Apocynaceae	
Mandragora	Solanaceae	
Manettia	Rubiaceae	
Manfreda	Agavaceae	
Mangave	Agavaceae	
Mangifera	Anacardiaceae	
Manglietia	Magnoliaceae	
Manihot	Euphorbiaceae	
Manilkara	Sapotaceae	
Manoao	Podocarpaceae	
Mansoa	Bignoniaceae	
Mantisalca	Asteraceae	
Mantisia	Zingiberaceae	
Manulea	Scrophulariaceae	
Maranta	Marantaceae	
Marattia	Marattiaceae	
Marchantia	Marchantiaceae	
Margyricarpus	Rosaceae	
Mariscus	Cyperaceae	
Markhamia	Bignoniaceae	
Marrubium	Lamiaceae	
Marsdenia	Apocynaceae	
Marshallia	Asteraceae	
Marsilea	Marsileaceae	
Marsippospermum	Juncaceae	
Mascagnia	Malpighiaceae	
Mascarena	Arecaceae	
Masdevallia	Orchidaceae	
Massonia	Asparagaceae	
Matelea	Apocynaceae	
Mathiasella	Apiaceae	
Matricaria	Asteraceae	
Matteuccia	Onocleaceae	
Matthiola	Brassicaceae	
Maurandella	Plantaginaceae	
Maurandya	Plantaginaceae	
Maytenus	Celastraceae	
Mazus	Phrymaceae	
Mecardonia	Plantaginaceae	
Meconopsis	Papaveraceae	
Medemia	Arecaceae	
Medeola	Asparagaceae	
Medicago	Papilionaceae	
Medinilla	Melastomataceae	
Meehania	Lamiaceae	
Megacarpaea	Brassicaceae	
Megacodon	Gentianaceae	
Megaskepasma	Acanthaceae	
Melaleuca	Myrtaceae	
Melampodium	Asteraceae	
Melandrium	Caryophyllaceae	
Melanoselinum	Apiaceae	
Melanoseris	Asteraceae	
Melanthium	Melanthiaceae	
Melasphaerula	Iridaceae	
Melastoma	Melastomataceae	
Melia	Meliaceae	
Melianthus	Melianthaceae	
Melica	Poaceae	
Melicope	Rutaceae	
Melicytus	Violaceae	
Melilotus	Papilionaceae	
Melinis	Poaceae	
Meliosma	Sabiaceae	
Melissa	Lamiaceae	
Melittis	Lamiaceae	
Melliodendron	Styracaceae	
Melothria	Cucurbitaceae	
Menispermum	Menispermaceae	
Menstruocalamus	Poaceae	
Mentha	Lamiaceae	
Mentzelia	Loasaceae	
Menyanthes	Menyanthaceae	
Menziesia	Ericaceae	
Mercurialis	Euphorbiaceae	
Merendera	Colchicaceae	
Merremia	Convolvulaceae	
Merrilliopanax	Araliaceae	
Mertensia	Boraginaceae	
Merwilla	Asparagaceae	
Merxmuellera	Poaceae	
Meryta	Araliaceae	
Mesembryanthemum	Aizoaceae	
Mespilus	Rosaceae	
Metanarthecium	Melanthiaceae	
Metapanax	Araliaceae	
Metaplexis	Apocynaceae	
Metarungia	Acanthaceae	
Metasequoia	Cupressaceae	
Metrosideros	Myrtaceae	
Meum	Apiaceae	
Mibora	Poaceae	
Michauxia	Campanulaceae	
Michelia	Magnoliaceae	
Micranthus	Iridaceae	
Microbiota	Cupressaceae	
Microcachrys	Podocarpaceae	
Microcitrus	Rutaceae	
Microcoelum	Arecaceae	
Microglossa	Asteraceae	
Microlaena	Poaceae	
Microlepia	Dennstaedtiaceae	
Microloma	Apocynaceae	
Micromeria	Lamiaceae	
Microseris	Asteraceae	
Microsorum	Polypodiaceae	
Microstrobos	Podocarpaceae	
Microtropis	Celastraceae	
Miersia	Alliaceae	
Mikania	Asteraceae	
Milium	Poaceae	
Millettia	Papilionaceae	
Milligania	Asteliaceae	
Millingtonia	Bignoniaceae	
Mimetes	Proteaceae	
Mimosa	Mimosaceae	
Mimulus	Phrymaceae	
Mimusops	Sapotaceae	
Mina	Convolvulaceae	
Minuartia	Caryophyllaceae	
Miqueliopuntia	Cactaceae	
Mirabilis	Nyctaginaceae	
Miscanthus	Poaceae	
Misopates	Scrophulariaceae	
Mitchella	Rubiaceae	
Mitella	Saxifragaceae	
Mitraria	Gesneriaceae	
Mitrasacme	Loganiaceae	
Mitriostigma	Rubiaceae	
Modiola	Malvaceae	
Modiolastrum	Malvaceae	
Moehringia	Caryophyllaceae	
Moenchia	Caryophyllaceae	
Molinia	Poaceae	
Molopospermum	Apiaceae	
Moltkia	Boraginaceae	
Moluccella	Lamiaceae	
Momordica	Cucurbitaceae	
Monachosorum	Dennstaedtiaceae	
Monadenium	Euphorbiaceae	
Monanthes	Crassulaceae	
Monarda	Lamiaceae	
Monardella	Lamiaceae	
Monochoria	Pontederiaceae	
Monopsis	Campanulaceae	
Monotoca	Ericaceae	
Monsonia	Geraniaceae	
Monstera	Araceae	
Montbretia	Iridaceae	
Montia	Portulacaceae	
Moraea	Iridaceae	
Morella	Myricaceae	
Moricandia	Brassicaceae	
Morina	Caprifoliaceae	
Morinda	Rubiaceae	
Morisia	Brassicaceae	
Morus	Moraceae	
Mosla	Lamiaceae	
Mucuna	Papilionaceae	
Muehlenbeckia	Polygonaceae	
Muhlenbergia	Poaceae	
Mukdenia	Saxifragaceae	
Mukgenia	Saxifragaceae	
Mundulea	Papilionaceae	
Murbeckiella	Brassicaceae	
Murraya	Rutaceae	
Musa	Musaceae	
Muscari	Asparagaceae	
Muscarimia	Asparagaceae	
Musella	Musaceae	
Mussaenda	Rubiaceae	
Musschia	Campanulaceae	
Mutisia	Asteraceae	
Myoporum	Scrophulariaceae	
Myosotidium	Boraginaceae	
Myosotis	Boraginaceae	
Myosurus	Ranunculaceae	
Myrceugenia	Myrtaceae	
Myrcia	Myrtaceae	
Myrica	Myricaceae	
Myricaria	Tamaricaceae	
Myriophyllum	Haloragaceae	
Myrrhidendron	Apiaceae	
Myrrhis	Apiaceae	
Myrsine	Primulaceae	
Myrteola	Myrtaceae	
Myrtus	Myrtaceae	
Nabalus	Asteraceae	
Naiocrene	Portulacaceae	
Nananthus	Aizoaceae	
Nandina	Berberidaceae	
Nannorrhops	Arecaceae	
Napaea	Malvaceae	
Narcissus	Amaryllidaceae	
Nardophyllum	Asteraceae	
Nardostachys	Caprifoliaceae	
Nardus	Poaceae	
Narthecium	Nartheciaceae	
Nassauvia	Asteraceae	
Nassella	Poaceae	For N. tenuissima, see <g>Stipa</g>
Nastanthus	Calyceraceae	
Nasturtium	Brassicaceae	
Nauplius	Asteraceae	
Nautilocalyx	Gesneriaceae	
Navarretia	Polemoniaceae	
Nectaroscordum	Alliaceae	
Neillia	Rosaceae	
Nelumbo	Nelumbonaceae	
Nemastylis	Iridaceae	
Nematanthus	Gesneriaceae	
Nemesia	Scrophulariaceae	
Nemopanthus	Aquifoliaceae	
Nemophila	Boraginaceae	
Neochilenia	Cactaceae	
Neodypsis	Arecaceae	
Neohenricia	Aizoaceae	
Neolepisorus	Polypodiaceae	
Neolitsea	Lauraceae	
Neomarica	Iridaceae	
Neopanax	Araliaceae	
Neopaxia	Portulacaceae	
Neoporteria	Cactaceae	
Neoregelia	Bromeliaceae	
Neoshirakia	Euphorbiaceae	
Neotinea	Orchidaceae	
Neottia	Orchidaceae	
Neottianthe	Orchidaceae	
Nepenthes	Nepenthaceae	
Nepeta	Lamiaceae	
Nephrolepis	Lomariopsidaceae	
Nephrophyllidium	Menyanthaceae	
Nerine	Amaryllidaceae	
Nerium	Apocynaceae	
Nertera	Rubiaceae	
Neviusia	Rosaceae	
Nicandra	Solanaceae	
Nicotiana	Solanaceae	
Nidorella	Asteraceae	
Nidularium	Bromeliaceae	
Niduregelia	Bromeliaceae	
Nierembergia	Solanaceae	
Nigella	Ranunculaceae	
Nigritella	Orchidaceae	
Niphaea	Gesneriaceae	
Niphidium	Polypodiaceae	
Niphimenes	Gesneriaceae	
Nipponanthemum	Asteraceae	
Nivenia	Iridaceae	
Noccaea	Brassicaceae	
Nolana	Solanaceae	
Nolina	Asparagaceae	
Nomocharis	Liliaceae	
Nonea	Boraginaceae	
Nopalea	Cactaceae	
Notelaea	Oleaceae	
Nothochelone	Scrophulariaceae	
Nothofagus	Nothofagaceae	
Notholaena	Adiantaceae	
Notholirion	Liliaceae	
Nothopanax	Araliaceae	
Nothoperanema	Dryopteridaceae	
Nothoscordum	Alliaceae	
Nothotsuga	Pinaceae	
Notobuxus	Buxaceae	
Notocactus	Cactaceae	
Notospartium	Papilionaceae	
Nototriche	Malvaceae	
Nuphar	Nymphaeaceae	
Nuxia	Stilbaceae	
Nuytsia	Loranthaceae	
Nylandtia	Polygalaceae	
Nymphaea	Nymphaeaceae	
Nymphoides	Menyanthaceae	
Nyssa	Nyssaceae	
Oakesiella	Convallariaceae	
Ochagavia	Bromeliaceae	
Ochna	Ochnaceae	
Ocimum	Lamiaceae	
Oclemena	Compositae	
Odontadenia	Apocynaceae	
Odontites	Orobanchaceae	
Odontoglossum	Orchidaceae	
Odontonema	Acanthaceae	
Oemleria	Rosaceae	
Oenanthe	Apiaceae	
Oenothera	Onagraceae	
Olea	Oleaceae	
Olearia	Asteraceae	
Oligoneuron	Asteraceae	
Oligostachyum	Poaceae	
Olsynium	Iridaceae	
Olyra	Poaceae	
Omphalodes	Boraginaceae	
Omphalogramma	Primulaceae	
Oncidium	Orchidaceae	
Oncoba	Flacourtiaceae	
Oncostema	Asparagaceae	
Onixotis	Colchicaceae	
Onobrychis	Papilionaceae	
Onoclea	Onocleaceae	
Ononis	Papilionaceae	
Onopordum	Asteraceae	
Onoseris	Asteraceae	
Onosma	Boraginaceae	
Onosmodium	Boraginaceae	
Onychium	Pteridaceae	
Ophiopogon	Asparagaceae	
Ophiorrhiza	Rubiaceae	
Ophrys	Orchidaceae	
Opithandra	Gesneriaceae	
Oplismenus	Poaceae	
Oplopanax	Araliaceae	
Opopanax	Apiaceae	
Opuntia	Cactaceae	
Orbea	Apocynaceae	
Orbeopsis	Apocynaceae	
Orbexilum	Papilionaceae	
Orchis	Orchidaceae	
Oreobolus	Cyperaceae	
Oreocereus	Cactaceae	
Oreocharis	Gesneriaceae	
Oreomyrrhis	Apiaceae	
Oreopanax	Araliaceae	
Oreopteris	Thelypteridaceae	
Oreorchis	Orchidaceae	
Oreostemma	Compositae	
Oreoxis	Apiaceae	
Oresitrophe	Saxifragaceae	
Origanum	Lamiaceae	
Orites	Proteaceae	
Orixa	Rutaceae	
Orlaya	Apiaceae	
Ornithogalum	Asparagaceae	
Ornithoglossum	Colchicaceae	
Orobanche	Orobanchaceae	
Orontium	Araceae	
Orostachys	Crassulaceae	
Oroxylum	Bignoniaceae	
Oroya	Cactaceae	
Orphium	Gentianaceae	
Orthophytum	Bromeliaceae	
Orthosiphon	Lamiaceae	
Orthrosanthus	Iridaceae	
Orychophragmus	Brassicaceae	
Oryzopsis	Poaceae	
Osbeckia	Melastomataceae	
Oscularia	Aizoaceae	
Osmanthus	Oleaceae	
Osmarea	Oleaceae	
Osmaronia	Rosaceae	
Osmitopsis	Asteraceae	
Osmorhiza	Apiaceae	
Osmunda	Osmundaceae	
Osteomeles	Rosaceae	
Osteospermum	Asteraceae	
Ostrowskia	Campanulaceae	
Ostrya	Betulaceae	
Ostryopsis	Betulaceae	
Osyris	Santalaceae	
Otacanthus	Plantaginaceae	
Otanthera	Melastomataceae	
Otanthus	Asteraceae	
Otatea	Poaceae	
Otholobium	Papilionaceae	
Othonna	Asteraceae	
Othonnopsis	Asteraceae	
Ourisia	Plantaginaceae	
Ovidia	Thymelaeaceae	
Oxalis	Oxalidaceae	
Oxera	Lamiaceae	
Oxycoccus	Ericaceae	
Oxydendrum	Ericaceae	
Oxygraphis	Ranunculaceae	
Oxylobium	Papilionaceae	
Oxypetalum	Apocynaceae	
Oxyria	Polygonaceae	
Oxytropis	Papilionaceae	
Oziro?	Asparagaceae	
Ozothamnus	Asteraceae	
Pachycymbium	Apocynaceae	
Pachylaena	Asteraceae	
Pachyphragma	Brassicaceae	
Pachyphytum	Crassulaceae	
Pachypodium	Apocynaceae	
Pachysandra	Buxaceae	
Pachystachys	Acanthaceae	
Pachystegia	Asteraceae	
Pachystima	Celastraceae	
Pachyveria	Crassulaceae	
Packera	Asteraceae	
Paederia	Rubiaceae	
Paederota	Plantaginaceae	
Paeonia	Paeoniaceae	
Paesia	Dennstaedtiaceae	
Palisota	Commelinaceae	
Paliurus	Rhamnaceae	
Pallenis	Asteraceae	
Pamianthe	Amaryllidaceae	
Panax	Araliaceae	
Pancratium	Amaryllidaceae	
Pandanus	Pandanaceae	
Pandorea	Bignoniaceae	
Panicum	Poaceae	
Papaver	Papaveraceae	
Parabenzoin	Lauraceae	
Paracaryum	Boraginaceae	
Parachampionella	Acanthaceae	
Paradisea	Asparagaceae	
Parafestuca	Poaceae	
Parahebe	Plantaginaceae	
Parajubaea	Arecaceae	
Parakmeria	Magnoliaceae	
Paramongaia	Amaryllidaceae	
Paranomus	Proteaceae	
Paraquilegia	Ranunculaceae	
Parasenecio	Asteraceae	
Paraserianthes	Mimosaceae	
Parasyringa	Oleaceae	
Parathelypteris	Thelypteridaceae	
Pardancanda	Iridaceae	
Pardanthopsis	Iridaceae	
Pardoglossum	Boraginaceae	
Parietaria	Urticaceae	
Paris	Melanthiaceae	
Parkinsonia	Caesalpiniaceae	
Parnassia	Celastraceae	
Parochetus	Papilionaceae	
Parodia	Cactaceae	
Parolinia	Brassicaceae	
Paronychia	Caryophyllaceae	
Parrotia	Hamamelidaceae	
Parrotiopsis	Hamamelidaceae	
Parrya	Brassicaceae	
Parsonsia	Apocynaceae	
Parthenium	Asteraceae	
Parthenocissus	Vitaceae	
Pasithea	Hemerocallidaceae	
Paspalum	Poaceae	
Passerina	Thymelaeaceae	
Passiflora	Passifloraceae	
Pastinaca	Apiaceae	
Patersonia	Iridaceae	
Patrinia	Caprifoliaceae	
Paulownia	Paulowniaceae	
Pauridia	Hypoxidaceae	
Pavonia	Malvaceae	
Paxistima	Celastraceae	
Pecteilis	Orchidaceae	
Pedicularis	Orobanchaceae	
Pedilanthus	Euphorbiaceae	
Pegaeophyton	Brassicaceae	
Peganum	Nitrariaceae	
Pelargonium	Geraniaceae	
Peliosanthes	Asparagaceae	
Pellaea	Pteridaceae	
Pellea	Urticaceae	
Pellionia	Urticaceae	
Peltandra	Araceae	
Peltaria	Brassicaceae	
Peltiphyllum	Saxifragaceae	
Peltoboykinia	Saxifragaceae	
Peltocalathos	Ranunculaceae	
Pennantia	Pennantiaceae	
Pennellianthus	Scrophulariaceae	
Pennisetum	Poaceae	
Penstemon	Plantaginaceae	
Pentachondra	Ericaceae	
Pentaglottis	Boraginaceae	
Pentagramma	Pteridaceae	
Pentalinon	Apocynaceae	
Pentapanax	Araliaceae	
Pentapterygium	Ericaceae	
Pentas	Rubiaceae	
Penthorum	Saxifragaceae	
Peperomia	Piperaceae	
